row_id,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr
17,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.476,0.028,0.252,0.166,0.492,0.255,0.178,0.061,0.005,0.868,0.05,0.0,0.09467455621301775,0.38757396449704146,0.3106508875739645,0.20710059171597633,13.0,10.0,0.314,,0.12,,,0.394,10.0,,,3780.0,3700.0,b
19,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.432,0.051,0.199,0.044,0.504,0.212,0.195,0.014,0.042,0.915,0.008,0.002,0.2043435340572557,0.35636722606120436,0.2961500493583416,0.14313919052319843,8.0,13.0,0.302,0.246,0.144,0.09,0.15,0.303,13.0,,23.37,6549.0,3710.0,a
20,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.417,0.087,0.243,0.089,0.497,0.215,0.219,0.009,0.004,0.961,0.004,0.0,0.22845691382765532,0.43687374749499,0.24849699398797595,0.08617234468937875,9.0,15.0,0.346,0.22,0.126,0.071,,0.343,11.0,,49.02,1119.0,1640.0,b
24,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.489,0.054,0.26,0.096,0.502,0.229,0.137,0.443,0.015,0.455,0.029,0.058,0.20221327967806843,0.17907444668008046,0.29275653923541245,0.32595573440643866,13.0,7.0,0.195,0.11,0.067,0.053,0.174,0.142,7.0,1.6,8.78,1330.0,1289.0,a
27,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.456,0.065,0.247,0.081,0.488,0.188,0.18,0.044,0.216,0.738,0.006,0.003,0.19371196754563896,0.4959432048681542,0.20689655172413796,0.10344827586206898,9.0,13.0,0.337,0.348,0.12,0.107,,0.364,12.0,,,,5140.0,b
30,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Farm-dependent,0.446,0.049,0.318,0.147,0.497,0.233,0.192,0.101,0.029,0.855,0.007,0.0,0.18235877106045592,0.35877106045589696,0.3082259663032706,0.15064420218037664,11.0,11.0,0.312,0.206,0.117,0.078,0.101,0.327,10.0,4.76,35.65,3790.0,7530.0,b
31,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.459,0.07,0.215,0.054,0.536,0.241,0.128,0.036,0.55,0.375,0.009,0.019,0.14385614385614387,0.2607392607392608,0.28471528471528473,0.3106893106893107,14.0,9.0,0.362,0.185,0.137,0.117,0.144,0.287,13.0,13.06,14.94,1680.0,1119.0,b
33,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.448,0.044,0.377,0.2,0.508,0.211,0.246,0.543,0.004,0.435,0.018,0.002,0.21151936444885797,0.2859980139026812,0.253227408142999,0.24925521350546173,13.0,15.0,0.294,,0.113,0.095,0.186,0.289,10.0,,,,,a
34,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.527,0.085,0.274,0.153,0.466,0.256,0.093,0.041,0.001,0.697,0.14,0.04,0.07319485657764588,0.26904055390702275,0.3669634025717111,0.2908011869436201,15.0,7.0,0.303,0.234,0.058,0.056,0.221,0.236,,,,2439.0,1379.0,a
35,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.427,0.083,0.231,0.084,0.517,0.268,0.171,0.056,0.107,0.813,0.0,0.002,0.26401630988786956,0.39143730886850153,0.22426095820591235,0.12028542303771661,14.0,14.0,0.337,0.307,0.121,0.107,,0.385,13.0,,23.16,3169.0,1759.0,a
36,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.504,0.04,0.172,0.074,0.513,0.248,0.181,0.027,0.0,0.947,0.011,0.007,0.09235352532274083,0.4766633565044687,0.2790466732869911,0.1519364448857994,12.0,12.0,0.323,0.176,0.121,0.068,,0.262,13.0,,11.27,3639.0,2039.0,b
37,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.404,0.08,0.213,0.082,0.479,0.171,0.222,0.105,0.025,0.814,0.029,0.016,0.097,0.293,0.402,0.208,9.0,14.0,0.232,0.194,0.092,0.052,0.265,0.205,10.0,,16.46,939.0,1080.0,a
39,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.559,0.027,0.153,0.062,0.497,0.228,0.199,0.023,0.008,0.954,0.014,0.0,0.07607607607607607,0.36236236236236236,0.3443443443443443,0.2172172172172172,11.0,14.0,0.311,0.173,0.089,0.056,0.194,0.306,12.0,,,8360.0,4150.0,a
42,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.522,0.053,0.114,0.044,0.496,0.218,0.199,0.016,0.0,0.956,0.014,0.007,0.0946215139442231,0.4352589641434263,0.29880478087649404,0.17131474103585656,10.0,14.0,0.273,0.199,0.105,0.078,0.256,0.232,11.0,,17.77,2609.0,1620.0,a
43,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.464,0.053,0.145,0.043,0.516,0.228,0.169,0.082,0.188,0.703,0.003,0.009,0.12625250501002003,0.34168336673346694,0.3366733466933868,0.19539078156312625,11.0,11.0,0.38,0.192,0.114,0.104,0.208,0.266,12.0,10.4,11.42,1570.0,1170.0,a
46,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.438,0.06,0.199,0.05,0.494,0.283,0.129,0.03,0.009,0.947,0.001,0.0,0.1782477341389728,0.44410876132930516,0.25579053373615307,0.12185297079556898,14.0,9.0,0.362,0.273,0.117,0.086,,0.307,13.0,,26.12,3529.0,1879.0,a
51,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.417,0.082,0.219,0.055,0.511,0.247,0.168,0.017,0.01,0.941,0.01,0.006,0.2067932067932068,0.4235764235764236,0.24875124875124877,0.1208791208791209,14.0,13.0,0.309,0.279,0.116,0.085,,0.33,14.0,4.17,26.79,3859.0,2330.0,b
52,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.423,0.064,0.269,0.06,0.518,0.227,0.197,0.011,0.012,0.97,0.0,0.009,0.17227722772277226,0.4297029702970297,0.2712871287128713,0.12673267326732673,12.0,15.0,0.376,0.166,0.118,0.088,,0.328,13.0,,38.48,4409.0,2859.0,b
55,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.457,0.054,0.279,0.126,0.514,0.216,0.215,0.031,0.002,0.93,0.009,0.011,0.08965517241379309,0.33300492610837434,0.33201970443349754,0.24532019704433494,9.0,11.0,0.202,0.194,0.062,0.06,0.183,0.194,11.0,,20.24,2159.0,1440.0,b
57,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.454,0.056,0.219,0.056,0.51,0.267,0.114,0.028,0.062,0.882,0.008,0.014,0.1253731343283582,0.34029850746268653,0.34228855721393026,0.19203980099502485,14.0,8.0,0.302,0.206,0.107,0.082,0.158,0.291,12.0,4.24,24.24,3910.0,5770.0,b
58,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.601,0.04,0.116,0.053,0.508,0.222,0.207,0.021,0.0,0.953,0.003,0.002,0.07915831663326653,0.3627254509018036,0.343687374749499,0.21442885771543085,11.0,13.0,0.337,0.181,0.091,0.073,0.12,0.287,8.0,,21.68,7269.0,2450.0,b
61,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Mining-dependent,0.432,0.043,0.259,0.154,0.499,0.203,0.24,0.113,0.0,0.847,0.015,0.003,0.10479041916167664,0.2944111776447106,0.3493013972055888,0.25149700598802394,12.0,14.0,0.268,0.223,0.112,0.073,0.184,0.246,10.0,3.0,21.12,2400.0,1919.0,a
63,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.331,0.055,0.292,0.104,0.405,0.197,0.124,0.047,0.612,0.328,0.009,0.002,0.2742742742742743,0.3843843843843844,0.24224224224224222,0.0990990990990991,8.0,7.0,0.328,,0.121,0.138,,0.287,12.0,,,3259.0,3249.0,a
64,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.411,0.067,0.204,0.057,0.501,0.193,0.183,0.023,0.3,0.655,0.005,0.001,0.2693467336683417,0.38090452261306534,0.2693467336683417,0.08040201005025126,9.0,10.0,0.364,0.306,0.156,0.113,,0.323,13.0,,24.31,,,a
65,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.547,0.04,0.097,0.064,0.503,0.219,0.188,0.009,0.009,0.965,0.0,0.004,0.07258064516129033,0.3497983870967742,0.36895161290322587,0.2086693548387097,11.0,11.0,0.264,0.13,0.086,0.058,0.216,0.239,12.0,,12.44,2080.0,1560.0,a
67,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.512,0.07,0.138,0.029,0.502,0.283,0.096,0.158,0.111,0.665,0.001,0.05,0.08350305498981671,0.2708757637474542,0.30244399185336046,0.34317718940936864,11.0,6.0,0.322,0.182,0.106,0.086,0.233,0.235,13.0,2.59,8.31,2079.0,1990.0,b
68,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.318,0.057,0.252,0.173,0.487,0.272,0.254,0.086,0.0,0.895,0.007,0.0,0.16832669322709165,0.39541832669322713,0.2539840637450199,0.18227091633466136,7.0,11.0,0.252,,0.095,,,0.228,11.0,,,,,a
70,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Recreation,0.441,0.058,0.327,0.125,0.513,0.183,0.244,0.301,0.001,0.657,0.027,0.005,0.12202380952380952,0.26686507936507936,0.3313492063492064,0.2797619047619047,9.0,10.0,0.23,0.219,0.081,0.098,0.181,0.222,9.0,8.38,17.85,2910.0,1569.0,b
71,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Recreation,0.397,0.082,0.232,0.157,0.495,0.198,0.255,0.175,0.002,0.639,0.168,0.011,0.15634517766497463,0.2964467005076142,0.37766497461928933,0.16954314720812183,12.0,15.0,0.273,0.25,0.118,0.085,0.145,0.256,10.0,8.8,25.83,1759.0,1709.0,a
73,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.321,0.097,0.214,0.09,0.499,0.177,0.267,0.035,0.0,0.921,0.01,0.003,0.08225966303270567,0.3280475718533202,0.44499504459861255,0.14469772051536176,7.0,12.0,0.315,0.159,0.123,,0.181,0.226,10.0,,,2019.0,,b
76,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.368,0.107,0.298,0.099,0.498,0.22,0.171,0.003,0.597,0.356,0.027,0.0,0.24131082423038724,0.3147964250248262,0.33763654419066536,0.10625620655412114,10.0,10.0,0.364,0.268,0.157,0.15,,0.317,13.0,,16.47,5139.0,,a
77,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.567,0.043,0.213,0.121,0.515,0.226,0.202,0.076,0.003,0.878,0.02,0.002,0.114,0.381,0.287,0.218,13.0,13.0,0.323,0.203,0.122,0.053,,0.342,10.0,,,1390.0,819.0,a
78,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.342,0.064,0.242,0.097,0.466,0.195,0.214,0.027,0.087,0.854,0.005,0.002,0.22266401590457258,0.40258449304174954,0.294234592445328,0.0805168986083499,9.0,13.0,0.355,0.306,0.155,0.08,0.079,0.337,12.0,,47.4,3979.0,5369.0,a
79,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Nonspecialized,0.296,0.151,0.273,0.084,0.498,0.227,0.131,0.006,0.852,0.143,0.006,0.0,0.2412109375,0.359375,0.2373046875,0.162109375,14.0,11.0,0.444,0.181,0.192,0.177,0.085,0.361,11.0,,22.59,,3809.0,a
80,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Mining-dependent,0.351,0.092,0.19,0.084,0.493,0.209,0.168,0.009,0.005,0.981,0.0,0.005,0.2537165510406343,0.35480673934588697,0.2824578790882061,0.10901883052527253,9.0,13.0,0.289,0.319,0.126,0.085,,0.297,13.0,,18.65,16109.0,3140.0,b
82,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Farm-dependent,0.413,0.049,0.318,0.095,0.505,0.271,0.13,0.396,0.02,0.548,0.02,0.009,0.19250253292806485,0.2553191489361702,0.3242147922998987,0.22796352583586627,16.0,6.0,0.274,0.231,0.072,0.083,0.132,0.286,9.0,,18.57,3580.0,1569.0,b
83,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Manufacturing-dependent,0.419,0.059,0.25,0.051,0.512,0.241,0.187,0.021,0.308,0.638,0.002,0.008,0.16700404858299597,0.4311740890688259,0.2611336032388664,0.14068825910931176,10.0,14.0,0.35,0.346,0.151,0.091,,0.339,11.0,,32.42,9080.0,3000.0,b
85,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.521,0.051,0.149,0.057,0.504,0.2,0.229,0.019,0.016,0.952,0.01,0.008,0.08171603677221655,0.390194075587334,0.32482124616956076,0.20326864147088866,8.0,12.0,0.301,0.23,0.108,0.078,0.25,0.251,11.0,,29.53,3130.0,979.0,a
86,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.331,0.076,0.25,0.107,0.411,0.197,0.156,0.097,0.347,0.547,0.009,0.0,0.25574425574425574,0.3766233766233766,0.26573426573426573,0.10189810189810188,11.0,11.0,0.373,0.211,0.138,0.098,0.111,0.332,12.0,8.84,31.48,8850.0,7329.0,b
87,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.495,0.064,0.177,0.051,0.523,0.219,0.139,0.049,0.246,0.658,0.006,0.037,0.11244979919678715,0.32028112449799195,0.2831325301204819,0.28413654618473894,12.0,9.0,0.339,0.188,0.11,0.092,0.139,0.276,12.0,6.8,14.17,1289.0,1300.0,a
90,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.335,0.06,0.233,0.102,0.514,0.27,0.073,0.168,0.155,0.616,0.016,0.016,0.12202380952380952,0.30654761904761907,0.4246031746031746,0.1468253968253968,14.0,6.0,0.293,0.162,0.089,0.081,,0.258,9.0,2.91,13.6,5919.0,5460.0,b
94,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Federal/State government-dependent,0.436,0.065,0.213,0.086,0.482,0.214,0.15,0.027,0.023,0.887,0.011,0.03,0.13273453093812373,0.3373253493013971,0.26347305389221554,0.2664670658682634,11.0,10.0,0.329,0.258,0.099,0.075,0.153,0.254,10.0,3.2199999999999998,20.12,2659.0,999.0,b
95,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.506,0.037,0.101,0.044,0.486,0.244,0.145,0.03,0.003,0.946,0.004,0.0,0.07715430861723446,0.3597194388777555,0.32665330661322645,0.23647294589178355,11.0,8.0,0.289,0.284,0.09,0.081,0.225,0.273,9.0,,18.88,2479.0,1640.0,a
96,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Mining-dependent,0.326,0.112,0.187,0.065,0.478,0.183,0.186,0.006,0.037,0.949,0.009,0.0,0.2995991983967936,0.3496993987975952,0.2515030060120241,0.09919839679358719,8.0,14.0,0.289,0.295,0.12,0.1,,0.278,13.0,9.1,36.69,5890.0,2980.0,a
97,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Manufacturing-dependent,0.592,0.027,0.132,0.064,0.511,0.241,0.181,0.045,0.007,0.937,0.0,0.0,0.0746268656716418,0.3313432835820896,0.35422885572139307,0.23980099502487565,14.0,9.0,0.301,0.167,0.083,0.059,0.17,0.257,12.0,,,3279.0,3290.0,b
98,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.561,0.066,0.223,0.156,0.486,0.27,0.132,0.238,0.004,0.692,0.056,0.003,0.19180819180819178,0.3696303696303696,0.3606393606393606,0.0779220779220779,15.0,5.0,0.299,0.174,0.073,0.075,0.162,0.212,13.0,,36.99,6030.0,5940.0,a
101,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Recreation,0.526,0.045,0.094,0.039,0.511,0.182,0.184,0.015,0.0,0.96,0.0,0.005,0.093,0.343,0.274,0.29,9.0,11.0,0.288,0.182,0.097,0.058,0.167,0.212,11.0,1.7000000000000002,11.3,1400.0,1259.0,a
102,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.506,0.056,0.151,0.041,0.5,0.235,0.169,0.091,0.009,0.881,0.012,0.0,0.11077542799597181,0.33333333333333337,0.34843907351460224,0.20745216515609266,10.0,10.0,0.291,0.163,0.112,0.063,0.209,0.254,12.0,,20.33,2909.0,1699.0,a
103,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.381,0.077,0.221,0.089,0.525,0.202,0.247,0.019,0.243,0.717,0.004,0.003,0.1708542713567839,0.35075376884422105,0.3246231155778894,0.1537688442211055,8.0,12.0,0.327,0.209,0.156,0.091,,0.257,12.0,,14.06,13600.0,4520.0,a
105,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.452,0.055,0.257,0.115,0.496,0.239,0.178,0.021,0.013,0.78,0.127,0.003,0.12474645030425964,0.4279918864097363,0.283975659229209,0.16328600405679514,12.0,11.0,0.354,0.247,0.145,0.066,,0.352,10.0,,41.37,1269.0,3289.0,a
106,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.396,0.079,0.141,0.065,0.494,0.203,0.148,0.031,0.02,0.912,0.018,0.021,0.11077235772357724,0.3628048780487805,0.29878048780487804,0.22764227642276424,10.0,9.0,0.294,0.26,0.112,0.072,0.224,0.254,11.0,1.0,11.5,2660.0,1829.0,a
108,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.68,0.02,0.2,0.106,0.493,0.219,0.229,0.067,0.0,0.92,0.006,0.0,0.06493506493506494,0.32467532467532473,0.4125874125874126,0.19780219780219782,7.0,19.0,0.292,0.122,0.096,,0.14,0.331,13.0,,,1019.0,980.0,b
111,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Federal/State government-dependent,0.389,0.058,0.164,0.059,0.451,0.217,0.108,0.069,0.308,0.564,0.009,0.02,0.117,0.339,0.328,0.216,11.0,6.0,0.361,0.251,0.123,0.079,0.176,0.257,12.0,,14.05,5319.0,6150.0,a
112,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.474,0.054,0.188,0.078,0.505,0.265,0.112,0.051,0.146,0.734,0.0,0.053,0.07907907907907907,0.24124124124124124,0.32632632632632635,0.3533533533533533,13.0,6.0,0.264,0.161,0.097,0.089,0.156,0.232,13.0,1.0099999999999998,11.16,1830.0,839.0,b
113,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.451,0.055,0.234,0.049,0.512,0.25,0.145,0.024,0.006,0.943,0.003,0.01,0.15862068965517243,0.4315270935960592,0.2571428571428572,0.15270935960591134,13.0,10.0,0.346,0.177,0.136,0.07,0.106,0.343,13.0,5.8,24.63,3590.0,1869.0,a
